key,0,1
#,,
int32,str,str
0,"TEXT_KINGKW303_05504_SEQ_00","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Règle spéciale<Indent/>:  classe ou job fixe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Lydirceil est impatient de revoir le couteau de cuisine fantôme en action."
1,"TEXT_KINGKW303_05504_SEQ_01","* <Emphasis>Cette quête fait l'objet de la règle spéciale <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow> classe ou job fixe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Il n'est possible de progresser qu'avec la classe ou le job qui a servi à la commencer.</Emphasis>

Alors que tout semblait enfin prêt, Gerolt a décidé de fabriquer un noyau afin de préserver l'équilibre éthéré de votre arme fantôme. Réunissez les mémoquartz nécessaires pour obtenir trois <SheetFr(Item,12,50977,2,1)/> auprès d'Ermina, à la ville fantôme, puis apportez-les à Dodokkuli."
2,"TEXT_KINGKW303_05504_SEQ_02","Une fois le nouveau noyau ajouté à votre arme fantôme, Gerolt a finalement pu dissiper les illusions qui empêchaient celle-ci d'exprimer tout son potentiel. Maintenant que l'arme a retrouvé sa forme originelle, le forgeron semble convaincu que vos souvenirs de combats les plus marquants sont la clef d'une future amélioration... Quelle idée farfelue a-t-elle encore germé dans son esprit<Indent/>?"
3,"TEXT_KINGKW303_05504_SEQ_03",""
4,"TEXT_KINGKW303_05504_SEQ_04",""
5,"TEXT_KINGKW303_05504_SEQ_05",""
6,"TEXT_KINGKW303_05504_SEQ_06",""
7,"TEXT_KINGKW303_05504_SEQ_07",""
8,"TEXT_KINGKW303_05504_SEQ_08",""
9,"TEXT_KINGKW303_05504_SEQ_09",""
10,"TEXT_KINGKW303_05504_SEQ_10",""
11,"TEXT_KINGKW303_05504_SEQ_11",""
12,"TEXT_KINGKW303_05504_SEQ_12",""
13,"TEXT_KINGKW303_05504_SEQ_13",""
14,"TEXT_KINGKW303_05504_SEQ_14",""
15,"TEXT_KINGKW303_05504_SEQ_15",""
16,"TEXT_KINGKW303_05504_SEQ_16",""
17,"TEXT_KINGKW303_05504_SEQ_17",""
18,"TEXT_KINGKW303_05504_SEQ_18",""
19,"TEXT_KINGKW303_05504_SEQ_19",""
20,"TEXT_KINGKW303_05504_SEQ_20",""
